project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Workshop on Promoting Bioplastic Materials to Reduce Marine Plastic Litter in the Asia Pacific Region,OFWG 02 2022A,2022,Oceans and Fisheries Working Group (OFWG),Indonesia,Completed Project,APEC Support Fund,ASF: Marine Debris Management and Innovation (MDMI),Session 1,"120,000","21,600","141,600",,Fisheries; Marine Conservation; Oceans,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Korea; Peru; Chinese Taipei; Thailand; Viet Nam,National Research and Innovation Agency,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14914
APEC Peer Review on Energy Efficiency (PREE) Phase 12,EWG 06 2022A,2022,Energy Working Group (EWG),Japan,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"100,000","113,750","213,750",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Australia; Hong Kong, China; New Zealand; Philippines; Singapore; Chinese Taipei; Thailand; United States","Ministry of Economy, Trade and Industry",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15025
Determining Microplastics Distribution in Coastal Aquaculture Input Systems and Developing a Mitigation Plan towards Seafood Safety,OFWG 03 2021A,2021,Oceans and Fisheries Working Group (OFWG),Indonesia,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"150,000","35,000","185,000",,Fisheries; Marine Conservation; Oceans,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Chinese Taipei,"Center for Fisheries Research, Agency of Marine & Fisheries Research and Human Resources",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14679
Streamlined Insolvency Procedures for MSMEs,EC_02_2024S,2024,Economic Committee (EC),Canada,Project in Implementation,Self-Funded,,,,,,$0.00,Legal Infrastructure; Structural Reform,Economic Committee (EC),,China; Indonesia; Korea; Peru; Chinese Taipei; Thailand; United States; Viet Nam,"Innovation, Science and Economic Development Canada",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15552
"APEC Workshop on Indigenous, Rural, and Remote Communities in Just Energy Transitions",EWG_06_2024S,2024,Energy Working Group (EWG),Canada,Project in Implementation,Self-Funded,,,,,,$0.00,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Peru,Natural Resources Canada,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15551
Workshop on Implementing the APEC Pathfinder on Building Blocks for Facilitating Digital Trade,CTI 09 2023S,2023,Committee on Trade and Investment (CTI),United States,Completed Project,Self-Funded,,,,,,"$50,000.00",Trade Facilitation,Committee on Trade and Investment (CTI),,Australia; China; Peru; Singapore; Chinese Taipei,Nathan Associates / US Trade Representative,US Trade Representative,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15266
APEC Entrepreneurship Education Program (AEEP) 2022,HRD 12 2022S,2022,Human Resource Development Working Group (HRDWG),Korea,Completed Project,Self-Funded,,,,,,"$16,000.00",Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Malaysia,Ministry of Education,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14987
"Accelerating Innovation and Education Development: Regional Mobility, Digital Talent Cultivation and Collaborative Connectivity in Post-Pandemic Era",HRD 09 2022S,2022,Human Resource Development Working Group (HRDWG),Chinese Taipei,Completed Project,Self-Funded,,,,,,"$69,000.00",Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Institute of Innovation and Education Development,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14969
Addressing Skill Needs through Online Micro-Credentials in Higher Education,HRD 02 2022S,2022,Human Resource Development Working Group (HRDWG),Australia,Completed Project,Self-Funded,,,,,,"$143,000.00",Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"Australian Government Department of Education, Skills and Employment",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14869
"Women's Economic Empowering, New Media Digital Upskilling (WEDU): The Toolkit for Developing Digital Upskilling Training Program in New Media from the Gender Lens",HRD 04 2023A,2023,Human Resource Development Working Group (HRDWG),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Women and the Economy,Session 1,"15,800","33,200","49,000",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Indonesia; Japan; Malaysia; Peru; Philippines,"Workforce Development Agency, Ministry of Labor",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15143
Managing Infectious Diseases on Cross-Border Cruise Ships in the Post-COVID-19 Era: Application of Digital Technology,HWG 07 2022A,2022,Health Working Group (HWG),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Digital Innovation,Session 2,"95,000","70,000","165,000",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Peru; Thailand; Viet Nam,"Centers for Disease Control, Ministry of Health and Welfare",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15021
Workshop on Fostering Women's Economic Empowerment for a Resilient Marine Industry,OFWG_01_2024S,2024,Oceans and Fisheries Working Group (OFWG),Chinese Taipei,Completed Project,Self-Funded,,,,,,$0.00,Fisheries; Marine Conservation; Oceans,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Indonesia; Peru; Thailand; United States,Ocean Affairs Council,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15412
Empowering Indigenous Social Awareness on Renewable Energy and Increasing Inclusion Sustainability for Green Energy Applications in APEC Regions,EWG 14 2021A,2021,Energy Working Group (EWG),Chinese Taipei,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"100,000","107,600","207,600",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Indonesia; Japan; Thailand; United States,Feng Chia University,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14796
Advancing Women in Global Value Chains in the APEC Region,SMEWG_04_2024S,2024,Small and Medium Enterprises Working Group (SMEWG),United States,Project in Implementation,Self-Funded,,,,,,"$50,000.00","Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Cadmus Group,US Department of Commerce,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15543
"APEC Workshop on Promoting Creative Industries in the Aftermath of COVID-19 Sharing of Best Practices, and Identifying Opportunities and Challenges",DESG 04 2022A,2022,Digital Economy Steering Group (DESG),Indonesia,Completed Project,APEC Support Fund,ASF: Digital Innovation,Session 2,"121,113",0,"121,113",,Digital Economy,Committee on Trade and Investment (CTI),,"Chile; Hong Kong, China; Peru; Philippines; Thailand",Ministry of Foreign Affairs,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15018
APEC Workshop on Sustainable Energy Transition: Opportunities and Challenges,EWG 08 2022A,2022,Energy Working Group (EWG),Viet Nam,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"100,000","11,000","111,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"China; Hong Kong, China; Chinese Taipei; Thailand; United States",Ministry of Industry and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15028
APEC Workshop on Sharing Experiences in Developing Minimum Energy Performance Standards (MEPS) to Reduce Electricity Consumption in Industrial Production,EWG 01 2022A,2022,Energy Working Group (EWG),Viet Nam,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 1,"100,000","11,000","111,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Australia; Hong Kong, China; Japan; Chinese Taipei; United States",Ministry of Industry and Trade (MOIT),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14935
Strengthening Understanding of the WTO Technical Barriers to Trade Agreement,SCSC 05 2022A,2022,Sub-Committee on Standards and Conformance (SCSC),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"95,000",0,"95,000",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Canada; China; Indonesia; Japan; New Zealand; Peru; Philippines; Singapore; Chinese Taipei; Thailand,Office of the US Trade Representative,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15056
Advancing Human-centered Occupational Safety and Health Measures in the Digital Age,HRD 06 2023S,2023,Human Resource Development Working Group (HRDWG),Chinese Taipei,Completed Project,Self-Funded,,,,,,"$100,000.00",Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,New Zealand,Ministry of Labor,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15245
APEC Youth impact Forum: Promoting Local Sustainability and Inclusive Growth to Enhance Post-Pandemic Regional Resilience and Innovation,HRD 12 2022A,2022,Human Resource Development Working Group (HRDWG),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Women and the Economy,Session 2,"60,000","111,943","171,943",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Indonesia; Japan; Korea; Malaysia; Philippines; Thailand; United States,"Department of Higher Education, Ministry of Education",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15054
Accelerating Progress Towards Cervical Cancer Elimination in the APEC Region,HWG_04_2024S,2024,Health Working Group (HWG),United States,Project in Implementation,Self-Funded,,,,,,"$70,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,"National Cancer Institute, National Institutes of Health",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15538
Implementing Circular Economy Standards in the APEC Region,SCSC 01 2023S,2023,Sub-Committee on Standards and Conformance (SCSC),Australia,Completed Project,Self-Funded,,,,,,"$214,694.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Canada; Chile; Indonesia; Japan; Malaysia; Thailand; United States,Standards Australia,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15092
Exploring the New Age for Mobility Integration,TPT 05 2022S,2022,Transportation Working Group (TPTWG),Chinese Taipei,Completed Project,Self-Funded,,,,,,"$15,000.00",Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Japan; United States,"Institute of Transportation, MOTC","Institute of Transportation, MOTC",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15096
Examining the role of early warning systems in preventing health supply chain disruptions in the Asia Pacific region,HWG_03_2024S,2024,Health Working Group (HWG),United States,Project in Implementation,Self-Funded,,,,,,"$75,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,HHSOGA,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15541
Digital and Inclusive Talents Cultivation and Technology (AI)-Enabled Collaboration: TVET's Integrative Models of Skills and Trainings,HRD 04 2022A,2022,Human Resource Development Working Group (HRDWG),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Digital Innovation,Session 1,"40,000","64,800","104,800",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Indonesia; Japan; Korea; Malaysia; Thailand,"Department of Technological and Vocational Education, Ministry of Education",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14945
"A Workshop for Fisheries Enforcement Strategies to Prevent, Combat and Deter IUU Fishing Related to COVID-19 Pandemic",OFWG 03 2022A,2022,Oceans and Fisheries Working Group (OFWG),Indonesia,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"135,000","15,500","150,500",,Fisheries; Marine Conservation; Oceans,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Chile; New Zealand; Peru; Chinese Taipei; Thailand,Ministry of Marine Affairs and Fisheries,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14957
"PPSTI Symposium: Strengthening of capacities to increase the access and use of traditional knowledge with emphasis on biodiversity (including agrobiodiversity) in the ecosystem of science, technology and innovation (STI)",PPSTI_04_2024S,2024,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Peru,Project in Implementation,Self-Funded,,,,,,"$10,000.00",Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Korea; United States,"National Council of Science, Technology and Technological Innovation- Peru",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15539
APEC Education Officials Dialogue: Schools as Community Hubs,HRD 07 2022,2022,Human Resource Development Working Group (HRDWG),United States,Completed Project,General Project Account,None,Session 2,"35,200","40,600","75,800",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Indonesia; Japan; Malaysia; New Zealand; Papua New Guinea; Philippines; Singapore; Chinese Taipei; Thailand,US Department of Education,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15039
2023 APEC Forum on Promoting Innovation for Women-led Entrepreneurship,SME 06 2022A,2022,Small and Medium Enterprises Working Group (SMEWG),Korea,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"99,899","100,000","199,899",,"Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Canada; Chile; Malaysia; New Zealand; Papua New Guinea; Philippines; Singapore; Chinese Taipei; Thailand; Viet Nam,Korea SMEs and Startups Agency (KOSME),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15055
Study on the effects of formalization programs on the productivity and long-term survival of micro and small enterprises in APEC economies,SMEWG_205_2023A,2023,Small and Medium Enterprises Working Group (SMEWG),Peru,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 2,"40,240","35,880","76,120",,"Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Chile,Ministry of Production of Peru,Ministry of Production,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15355
Impacts of COVID-19 on Renewable Energy Development in APEC Economies,EWG 07 2021A,2021,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency and Low Carbon Measures (EELCM),Session 1,"59,610","23,485","83,095",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Malaysia; Singapore; Thailand",Tianjin University,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14645
Improving Transparency and Knowledge of Food Safety Requirements for Trade Food in the APEC Region,SCSC 03 2021T,2021,Sub-Committee on Standards and Conformance (SCSC),China,Completed Project,TILF Special Account,None,Session 2,"39,340","12,500","51,840",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Chile; Malaysia; New Zealand; Philippines; Singapore; United States,General Administration of Customs of the People's Republic of China,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14732
Application of the APEC Index to Measure the Regulatory Environment for Services Trade (APEC Services Index) in Regionally Relevant Use-Cases,GOS_01_2024S,2024,Group on Services (GOS),United States,Project in Implementation,Self-Funded,,,,,,"$60,000.00",Services Trade,Committee on Trade and Investment (CTI),,Peru,Office of the US Trade Representative (USTR),Cadmus Group,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15536
Capacity Building on How Investment Facilitation Policies can Enhance Sustainable Investment,IEG 02 2022T,2022,Investment Experts Group (IEG),Chinese Taipei,Completed Project,TILF Special Account,None,Session 2,"100,000","100,095","200,095",,Investment,Committee on Trade and Investment (CTI),,Australia; Chile; Indonesia; Japan; Korea; Papua New Guinea; Philippines,"Department of Investment Services, Ministry of Economic Affairs (MOEA)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15009
Incentives to Bring New Antibiotics to APEC Markets,HWG 05 2022A,2022,Health Working Group (HWG),United States,Completed Project,APEC Support Fund,ASF: Human Security,Session 2,"107,200",0,"107,200",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Malaysia; Thailand,US Department of Health and Human Services,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15007
Policies and Tools for Improving Digital Economy and Competition in Digital Markets: Current Issues,DESG 03 2022A,2022,Digital Economy Steering Group (DESG),Mexico,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"4,650",0,"4,650",,Digital Economy,Committee on Trade and Investment (CTI),Competition Policy and Law Group (CPLG),Chile; Malaysia; Chinese Taipei,"Federal Telecommunications Institute (IFT) / Federal economic Competition Commission (COFECE), Mexico",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15031
Understanding the Trade Issues related to Halal Certification,SCSC 03 2023A,2023,Sub-Committee on Standards and Conformance (SCSC),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"91,240",0,"91,240",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; Chile; Indonesia; Malaysia; Philippines; Singapore; Chinese Taipei; Thailand; Viet Nam,Office of the US Trade Representative,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15229
Workshop: Leveraging New Technologies for Tax Administration in Post-COVID Era,FMP 01 2022A,2022,Finance Ministers Process (FMP),Chinese Taipei,Completed Project,APEC Support Fund,ASF: Digital Innovation,Session 2,"25,500","6,000","31,500",,Finance,Senior Finance Officials Meeting (SFOM),,Australia; Canada,"Fiscal Information Agency, Ministry of Finance",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15020
Promoting Energy Modelling in APEC Region,EWG 05 2022A,2022,Energy Working Group (EWG),"Hong Kong, China",Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 1,"15,750","63,350","79,100",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; China; Japan; Singapore; United States; Viet Nam,"Electrical and Mechanical Services Department, HKSAR",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14940
NGS-based Microbial Testing for Probiotics Products: Guidelines Development and Laboratory Capacity Building,SCSC 04 2021A,2021,Sub-Committee on Standards and Conformance (SCSC),Malaysia,Completed Project,APEC Support Fund,ASF: Human Security,Session 2,"120,000","20,000","140,000",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,Australia; China; Thailand; Viet Nam; United States,University of Malaya,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14762
Cycle of Workshops to Strengthen Fire Prevention Capacities in Wildland-Urban Interface (WUI),EPWG 05 2021A,2021,Emergency Preparedness Working Group (EPWG),Chile,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"39,250","15,100","54,350",,Emergency Preparedness,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Brunei Darussalam; China; Japan; Korea; Malaysia; New Zealand; Peru; Philippines; Singapore; Chinese Taipei; Thailand; United States,Undersecretariat of the Environment,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14773
Achieving Carbon Neutrality through Bio-Circular-Green Economy Principle in APEC Region,EWG 10 2021A,2021,Energy Working Group (EWG),Thailand,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"100,000","10,000","110,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"China; Hong Kong, China; Japan; Malaysia; Chinese Taipei; United States; Viet Nam","Department of Alternative Development Energy Development and Efficiency, Ministry of Energy",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14794
"APEC Workshop on Promoting ""One Village One Product"" (OVOP) through e-Commerce",CTI 01 2022,2022,Committee on Trade and Investment (CTI),Viet Nam,Completed Project,General Project Account,None,Session 1,"99,350","7,000","106,350",,Trade Facilitation,Committee on Trade and Investment (CTI),,Chile; China; Indonesia; Japan; Papua New Guinea; Peru; Philippines; Russia; Chinese Taipei; Thailand,Ministry of Industry and Trade (MOIT),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14929
Improving equity and access to healthcare services through digital health solutions: An APEC Toolkit,HWG_02_2024S,2024,Health Working Group (HWG),United States,Project in Implementation,Self-Funded,,,,,,"$75,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Canada; Japan; Chinese Taipei,"Department of Commerce, International Trade Administration, United States",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15473
Embracing Carers as an Integral Part of Health Systems,HWG_01_2024S,2024,Health Working Group (HWG),United States,Project in Implementation,Self-Funded,,,,,,"$90,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Human Resource Development Working Group (HRDWG); Policy Partnership on Women and the Economy (PPWE),,: U.S. Department of State / Access Partnership,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15474
Growing Indigenous Business Through Trade Phase III,SMEWG_03_2024S,2024,Small and Medium Enterprises Working Group (SMEWG),Australia,Project in Implementation,Self-Funded,,,,,,"$226,000.00","Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Chile; Mexico; Papua New Guinea; Peru; Philippines; Chinese Taipei,Export Council of Australia,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15469
Fostering Greater SME Participation in Global Value Chains - Phase 2: Utilisation of Digital Technologies and Digitalisation,CTI 01 2023S,2023,Committee on Trade and Investment (CTI),Australia,Completed Project,Self-Funded,,,,,,"$168,500.00",Trade Facilitation,Committee on Trade and Investment (CTI),Digital Economy Steering Group (DESG); Policy Partnership on Women and the Economy (PPWE); Small and Medium Enterprises Working Group (SMEWG); Telecommunications and Information Working Group (TELWG),"Chile; Hong Kong, China; Peru; Chinese Taipei; United States",Department of Foreign Affairs and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15113
APEC SEN Workshop on Maritime Transportation Workforce Advancement Policies,TPTWG_02_2024S,2024,Transportation Working Group (TPTWG),Korea,Project in Implementation,Self-Funded,,,,,,"$4,000.00",Transportation,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; Chile; Mexico; Philippines; Thailand,APEC SEN Secretariat,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15424
APEC Bio-Circular-Green (BCG) Startups Regional Program on Sustainable Growth,PPSTI 08 2022A,2022,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Thailand; China,Completed Project,APEC Support Fund,ASF: Connectivity,Session 1,"146,500","22,000","168,500",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Chile; Hong Kong, China; Indonesia; Japan; Korea; Malaysia; Peru; Philippines; Russia",Thailand National Innovation Agency,Beijing International Exchange Association of China,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14921
Developing an Implementation Plan for the APEC Coastal Resilience Framework,OFWG_02_2024S,2024,Oceans and Fisheries Working Group (OFWG),United States,Project in Implementation,Self-Funded,,,,,,$0.00,Fisheries; Marine Conservation; Oceans,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,National Oceanic and Atmospheric Organisation (NOAA),Nathan Associates,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15426
APEC Energy Transition Towards Net-Zero: Foresight Scenarios and Policy Impact,PPSTI_03_2024S,2024,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Thailand,Project in Implementation,Self-Funded,,,,,,"$15,000.00",Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,China; Japan; Korea; Malaysia; Peru; Chinese Taipei,APEC Center for Technology Foresight,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15429
APEC Workshop on Promoting Small Farmers' Integration into Global Value Chains (GVCs),CTI 05 2022A,2022,Committee on Trade and Investment (CTI),Viet Nam,Completed Project,APEC Support Fund,ASF: Free Trade Area of the Asia-Pacific and Global Value Chains (FTAAP and GVCs),Session 2,"119,765","7,000","126,765",,Trade Facilitation,Committee on Trade and Investment (CTI),,China; Indonesia; Japan; Russia; Thailand,Ministry of Industry and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15008
Measuring the Economic Impact of Trade Facilitation Policies on Trade,CTI 01 2023,2023,Committee on Trade and Investment (CTI),Chile,Completed Project,General Project Account,None,Session 1,"110,000","15,299","125,299",,Trade Facilitation,Committee on Trade and Investment (CTI),Sub-Committee on Customs Procedures (SCCP),"Australia; Canada; China; Hong Kong, China; Indonesia; New Zealand; Peru; Philippines; Singapore","Undersecretariat for International Economic Relations, Ministry of Foreign Affairs",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15158
16th Conference on Good Regulatory Practices,SCSC 07 2022A,2022,Sub-Committee on Standards and Conformance (SCSC),United States,Completed Project,APEC Support Fund,ASF: Strengthening Economic Legal Infrastructure (SELI),Session 2,"132,000","30,000","162,000",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,"Australia; Canada; China; Hong Kong, China; New Zealand; Peru; Thailand",Office of the US Trade Representative,Nathan Associates,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15000
2023 APEC Forum on Improving Workplace Safety and Mental Health Management for SMEs Harnessing Digital Technology in the Context of COVID-19,SME 02 2022A,2022,Small and Medium Enterprises Working Group (SMEWG),Korea,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"100,000","100,000","200,000",,"Micro, Small and Medium Enterprises",SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; Malaysia; Philippines; Singapore; Chinese Taipei; Thailand; United States,Korea SMEs and Startups Agency (KOSME),Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14959
2023 APEC Closing the Digital Skills Gap Initiative: Promoting an Inclusive Digitally Skilled Workforce for Sustainable Growth among APEC Economies,HRD 09 2022A,2022,Human Resource Development Working Group (HRDWG),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 2,"118,780","385,550","504,330",,Human Resources Development,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Canada; China; Japan; Korea; Malaysia; Chinese Taipei; Viet Nam,US Department of Labor,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15037
Support Offshore Wind Deployment and Grid Connection in APEC Region,EWG 06 2021A,2021,Energy Working Group (EWG),China,Completed Project,APEC Support Fund,ASF: Energy Efficiency and Low Carbon Measures (EELCM),Session 1,"65,520","15,245","80,765",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Hong Kong, China; Indonesia; Korea; Singapore; Thailand",Tianjing University,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14642
Promote Green Garment and Textile Sector towards Inclusive and Sustainable Growth,CTI 03 2022,2022,Committee on Trade and Investment (CTI),Viet Nam,Completed Project,General Project Account,None,Session 2,"120,000","12,385","132,385",,Trade Facilitation,Committee on Trade and Investment (CTI),,Indonesia; Japan; Korea; Peru; Philippines; Thailand,Ministry of Industry and Trade,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15026
Study on the Use and Efficacy of Face Masks for Combating COVID-19 Transmission,LSIF 01 2021,2021,Life Sciences Innovation Forum (LSIF),"Hong Kong, China",Completed Project,General Project Account,None,Session 1,"43,400",0,"43,400",,Life Sciences,Committee on Trade and Investment (CTI),,Chile; China; Singapore,"Department of Mechanical Engineering, City University of Hong Kong",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14669
